flag_yellow_count,flag_double_yellow_count,flag_red_count,flag_clear_count,safety_car_deployments,virtual_safety_car_deployments,race_id,session,total_sc_laps,total_vsc_laps
3,5,0,7,0,0,23,FP3,,
0,0,0,0,0,0,23,Qualifying,,
11,11,0,20,1,0,23,Race,0.0,0.0
4,2,0,4,0,1,34,FP1,,
2,0,1,3,0,1,34,FP2,,
3,1,1,4,0,0,34,FP3,,
2,0,2,3,0,0,34,Qualifying,,
4,10,0,9,2,0,34,Race,5.0,0.0
2,0,1,5,0,0,41,FP1,,
4,1,2,7,0,1,41,FP2,,
0,0,0,0,0,0,41,FP3,,
1,1,0,1,0,0,41,Qualifying,,
1,6,0,8,2,0,41,Race,10.0,0.0
2,2,0,4,0,1,28,FP1,,
1,0,0,1,0,0,28,FP2,,
3,0,0,2,0,0,28,FP3,,
3,3,1,6,0,0,28,Qualifying,,
1,6,0,6,0,0,28,Race,0.0,0.0
1,0,0,2,0,1,24,FP1,,
1,1,0,3,0,1,24,FP2,,
3,1,1,4,0,0,24,FP3,,
0,0,0,0,0,0,24,Qualifying,,
1,0,0,2,0,1,24,Race,0.0,2.0
3,0,0,5,0,0,29,FP1,,
4,2,0,6,0,0,29,FP2,,
1,0,0,1,0,0,29,FP3,,
1,0,0,1,0,0,29,Qualifying,,
2,3,0,6,0,1,29,Race,0.0,1.0
5,1,2,7,0,0,32,FP1,,
3,0,1,3,0,0,32,FP2,,
0,0,0,0,0,0,32,FP3,,
1,0,0,1,0,0,32,Qualifying,,
9,2,0,19,4,2,32,Race,15.0,3.0
6,1,1,11,0,1,31,FP1,,
5,0,0,6,0,1,31,FP2,,
0,0,0,1,0,0,31,FP3,,
0,0,0,0,0,0,31,Qualifying,,
3,1,0,6,1,0,31,Race,4.0,0.0
4,0,0,9,0,0,33,FP1,,
2,0,1,9,0,0,33,FP2,,
0,0,0,3,0,0,33,FP3,,
0,1,0,1,0,0,33,Qualifying,,
1,1,0,1,0,0,33,Race,0.0,0.0
8,2,3,10,0,0,35,FP1,,
0,1,1,10,0,0,35,FP2,,
1,1,0,3,0,0,35,FP3,,
4,1,2,6,0,0,35,Qualifying,,
4,2,0,8,0,2,35,Race,0.0,2.0
0,0,0,1,0,1,38,FP1,,
2,3,0,2,0,0,38,FP2,,
0,4,2,6,0,0,38,Qualifying,,
4,0,0,4,0,0,38,Race,0.0,0.0
6,4,1,6,0,0,39,FP1,,
7,4,1,10,0,0,39,FP2,,
0,0,0,0,0,0,39,FP3,,
1,2,0,3,0,0,39,Qualifying,,
2,0,0,3,0,1,39,Race,0.0,3.0
9,3,0,11,0,0,27,FP1,,
6,0,0,6,0,0,27,FP2,,
2,4,0,6,0,1,27,FP3,,
4,1,0,5,0,0,27,Qualifying,,
13,5,0,17,1,0,27,Race,4.0,0.0
13,14,0,11,0,1,37,FP1,,
9,4,0,5,0,1,37,FP2,,
9,7,0,9,0,1,37,FP3,,
2,1,1,4,0,0,37,Qualifying,,
3,4,0,8,2,1,37,Race,7.0,2.0
7,4,1,3,0,0,36,FP1,,
4,3,0,6,0,0,36,FP2,,
1,1,1,3,0,1,36,FP3,,
1,4,0,4,0,0,36,Qualifying,,
4,3,0,9,3,0,36,Race,11.0,0.0
4,1,1,5,0,0,26,FP1,,
4,1,0,4,0,0,26,FP2,,
4,0,2,6,0,0,26,FP3,,
5,0,0,5,0,0,26,Qualifying,,
4,2,0,6,1,0,26,Race,7.0,0.0
27,0,0,27,0,0,40,FP1,,
9,2,1,8,0,0,40,FP2,,
1,0,0,2,0,1,40,FP3,,
0,0,0,0,0,0,40,Qualifying,,
2,4,0,4,0,0,40,Race,0.0,0.0
2,0,0,2,0,0,unknown,FP1,,
2,0,1,4,0,1,unknown,FP2,,
0,0,0,0,0,0,unknown,FP3,,
0,0,0,0,0,0,unknown,Qualifying,,
1,3,0,3,0,0,unknown,Race,0.0,0.0
2,3,0,6,0,1,59,FP1,,
1,1,1,4,0,0,59,FP2,,
2,0,0,3,0,0,59,FP3,,
1,1,0,1,0,0,59,Qualifying,,
1,0,0,2,1,1,59,Race,3.0,0.0
8,0,0,32,0,4,43,FP1,,
10,4,0,9,0,0,43,FP2,,
1,1,1,3,0,0,43,FP3,,
2,0,0,2,0,0,43,Qualifying,,
9,6,0,15,3,0,43,Race,15.0,0.0
5,1,0,5,0,0,57,FP1,,
0,1,2,3,0,0,57,FP2,,
0,0,0,0,0,0,57,FP3,,
2,1,1,2,0,0,57,Qualifying,,
1,3,1,7,2,0,57,Race,6.0,0.0
0,1,0,1,0,0,49,FP1,,
2,1,1,3,0,1,49,FP2,,
0,0,0,0,0,0,49,FP3,,
2,1,0,1,0,0,49,Qualifying,,
3,3,0,6,1,0,49,Race,4.0,0.0
4,1,0,3,0,0,53,FP3,,
0,0,0,0,0,0,53,Qualifying,,
5,1,0,8,1,1,53,Race,5.0,2.0
4,0,0,4,0,0,55,FP1,,
1,0,0,1,0,0,55,Qualifying,,
6,3,0,10,1,1,55,Race,7.0,2.0
2,1,1,4,0,0,46,FP1,,
3,1,1,5,0,0,46,FP2,,
0,0,0,0,0,0,46,FP3,,
1,1,1,2,0,0,46,Qualifying,,
5,3,0,8,2,0,46,Race,10.0,0.0
1,0,0,1,0,0,45,FP1,,
0,0,0,0,0,0,45,FP2,,
2,3,0,3,0,0,45,FP3,,
0,0,0,0,0,0,45,Qualifying,,
4,1,0,4,0,0,45,Race,0.0,0.0
1,2,1,3,0,0,50,FP1,,
2,0,0,2,0,0,50,FP2,,
1,0,1,2,0,0,50,FP3,,
1,1,0,1,0,0,50,Qualifying,,
3,2,1,6,2,0,50,Race,4.0,0.0
4,1,0,6,0,0,54,FP1,,
