AirTemp_mean,AirTemp_min,AirTemp_max,AirTemp_std,TrackTemp_mean,TrackTemp_min,TrackTemp_max,TrackTemp_std,WindSpeed_mean,WindSpeed_min,WindSpeed_max,WindSpeed_std,Humidity_mean,Humidity_min,Humidity_max,Humidity_std,Pressure_mean,Pressure_min,Pressure_max,Pressure_std,Rainfall_any,Rainfall_mean,race_id,session
29.449549549549555,28.4,30.4,0.579792105981865,41.42252252252253,36.5,44.0,2.68855096777173,1.0855855855855854,0.0,3.0,0.6101932401590421,33.94054054054054,26.1,41.3,3.773818379268557,1015.9441441441444,1015.1,1016.8,0.4846150646149581,False,0.0,21,FP1
26.297321428571426,26.0,26.6,0.1726631994305109,29.433035714285715,28.0,31.0,0.822913785163487,2.101785714285714,1.2,3.5,0.4941061896403714,57.848214285714285,52.4,61.2,2.4331784034174606,1016.00625,1015.6,1016.6,0.2621055595067019,False,0.0,21,FP2
31.860975609756093,31.0,32.2,0.2909143090331603,39.5719512195122,36.9,44.4,2.304653070500821,1.602439024390244,0.0,3.0,0.7076261148786807,29.797560975609752,29.0,30.8,0.4055100765233825,1015.898780487805,1015.5,1016.4,0.2180122900822768,False,0.0,21,FP3
28.651282051282053,28.3,29.1,0.1718830693925076,31.77435897435897,30.7,33.1,0.7044267997578718,1.7128205128205125,0.6,2.8,0.4618874249641284,46.692307692307686,41.7,48.7,1.6295780053512243,1016.453846153846,1016.2,1016.7,0.1500582637427359,False,0.0,21,Qualifying
31.273722627737225,24.9,33.2,2.300775766645085,33.31824817518248,28.2,35.7,1.9816147225291905,2.1635036496350364,0.0,5.9,1.375728465449613,45.43795620437956,36.0,74.6,11.257377524688508,1013.1116788321168,1012.5,1014.7,0.5386619715760123,True,0.0437956204379562,21,Race
26.7813725490196,25.2,28.9,0.9177814826700592,42.3,38.5,45.2,1.937641722699156,1.917647058823529,0.4,3.5,0.6819325718977106,33.85980392156863,30.6,36.9,1.6120990439514633,1019.0617647058824,1017.7,1020.2,0.6798433304736619,False,0.0,1,FP1
29.73970588235294,28.9,30.4,0.4026552563760585,41.73088235294119,39.8,43.1,0.8978011868043044,0.9264705882352942,0.0,1.9,0.4644424187303165,25.176470588235293,23.7,27.7,0.9404853696179012,1015.1647058823532,1015.0,1015.3,0.0942602080973235,False,0.0,1,FP2
19.772058823529417,18.6,21.0,0.5405485296493349,24.75882352941176,22.2,28.3,1.247712569048053,0.7544117647058824,0.0,1.3,0.2728696717665297,86.83823529411765,81.2,92.3,3.2682566173641705,1010.2205882352944,1009.6,1011.5,0.5239228676082094,True,0.2205882352941176,1,FP3
24.737179487179485,24.2,25.2,0.2020087270578319,30.473076923076924,28.8,32.6,1.0132464318557115,0.7756410256410257,0.0,2.1,0.4635229011100529,60.55641025641024,57.2,63.5,1.6855065710143051,1007.8999999999994,1007.9,1007.9,5.72113412704535e-13,False,0.0,1,Qualifying
24.077477477477483,23.3,24.8,0.2891003866808788,36.32432432432432,32.4,38.9,2.045892391030299,3.691891891891892,0.9,6.9,1.210269326535149,30.91531531531532,25.6,37.2,4.06441761898191,997.0036036036036,996.7,997.3,0.1341152339851855,True,0.045045045045045,1,Race
19.75959595959596,18.4,20.8,0.6169244309094076,26.814141414141417,25.6,29.2,0.7806342399182049,1.211111111111111,0.3,2.5,0.485900991193299,68.37878787878788,62.8,74.5,3.012364747654707,933.9686868686866,933.8,934.1,0.0828651038619824,True,0.1414141414141414,9,FP1
21.6030303030303,21.0,22.2,0.28372685393488,26.855555555555554,25.5,28.1,0.5345649045609041,0.895959595959596,0.0,2.5,0.5215595123104053,63.00909090909091,60.3,66.1,1.2475356040963084,933.9575757575758,933.6,934.3,0.1863127221279284,True,0.1212121212121212,9,FP2
22.31,21.6,23.3,0.4827907999555698,30.99,29.6,35.2,1.4093013995532009,1.0542857142857145,0.0,2.2,0.5015008530302438,63.77857142857142,58.7,68.5,3.1383505709876043,934.3485714285712,934.2,934.6,0.1113069357877045,True,0.2285714285714285,9,FP3
24.869696969696967,24.2,25.7,0.3437215764896384,33.49242424242424,31.4,36.8,1.3628376059994602,1.1924242424242424,0.0,2.9,0.6505170975251106,41.35303030303031,37.0,48.2,2.6287885303936367,933.7333333333332,933.6,933.9,0.1042678995270814,True,0.0909090909090909,9,Qualifying
23.176086956521743,22.2,24.2,0.4973268245102498,45.87934782608695,43.3,48.6,1.1583939282783495,2.4847826086956526,1.0,4.0,0.6273850812170937,37.141304347826086,34.3,39.8,1.255506742745649,936.1097826086956,936.0,936.3,0.0914592116001775,False,0.0,9,Race
22.642857142857142,22.0,23.3,0.330884475432853,41.90510204081632,39.8,43.1,0.8328775666487362,0.7683673469387756,0.0,1.9,0.4560242665761228,41.00918367346939,38.3,43.7,1.0773283808305931,1019.8479591836737,1019.4,1020.2,0.177165303342966,True,0.0714285714285714,4,FP1
19.55102040816327,19.2,20.2,0.2755481502103904,29.078571428571426,26.9,31.5,1.364441655376966,1.1173469387755104,0.0,2.3,0.6345751903494393,60.56530612244899,54.9,65.9,2.9035031113629084,1018.5846938775512,1018.1,1019.0,0.2169859327552682,False,0.0,4,FP2
24.03283582089552,23.5,24.5,0.2382944827636675,29.402985074626866,28.3,30.5,0.6249776115393041,1.4074626865671642,0.6,2.5,0.4906129230394151,41.44626865671641,40.2,43.2,0.7991147295428929,1015.3835820895524,1015.0,1016.0,0.3188982049634243,True,0.1791044776119403,4,FP3
