driver_id,position,driver_name,points,url_id
3,1,Michael Schumacher,10,11
17,2,Juan Pablo Montoya,6,11
4,3,David Coulthard,4,11
20,4,Ralf Schumacher,3,11
5,5,Rubens Barrichello,2,11
19,6,Mika Hakkinen,1,11
13,7,Eddie Irvine,0,11
25,8,Pedro de la Rosa,0,11
21,9,Jacques Villeneuve,0,11
8,10,Kimi Räikkönen,0,11
15,11,Giancarlo Fisichella,0,11
10,12,Luciano Burti,0,11
16,13,Jenson Button,0,11
14,14,Fernando Alonso,0,11
11,15,Jean Alesi,0,11
12,NC,Jos Verstappen,0,11
6,NC,Nick Heidfeld,0,11
7,NC,Heinz-Harald Frentzen,0,11
18,NC,Jarno Trulli,0,11
23,NC,Enrique Bernoldi,0,11
9,NC,Olivier Panis,0,11
22,NC,Tarso Marques,0,11
3,1,Michael Schumacher,10,12
20,2,Ralf Schumacher,6,12
5,3,Rubens Barrichello,4,12
4,4,David Coulthard,3,12
18,5,Jarno Trulli,2,12
6,6,Nick Heidfeld,1,12
8,7,Kimi Räikkönen,0,12
7,8,Heinz-Harald Frentzen,0,12
9,9,Olivier Panis,0,12
10,10,Luciano Burti,0,12
15,11,Giancarlo Fisichella,0,12
11,12,Jean Alesi,0,12
12,13,Jos Verstappen,0,12
25,14,Pedro de la Rosa,0,12
22,15,Tarso Marques,0,12
16,16,Jenson Button,0,12
14,17,Fernando Alonso,0,12
13,NC,Eddie Irvine,0,12
17,NC,Juan Pablo Montoya,0,12
23,NC,Enrique Bernoldi,0,12
21,NC,Jacques Villeneuve,0,12
19,NC,Mika Hakkinen,0,12
19,1,Mika Hakkinen,10,13
3,2,Michael Schumacher,6,13
5,3,Rubens Barrichello,4,13
17,4,Juan Pablo Montoya,3,13
8,5,Kimi Räikkönen,2,13
6,6,Nick Heidfeld,1,13
7,7,Heinz-Harald Frentzen,0,13
21,8,Jacques Villeneuve,0,13
13,9,Eddie Irvine,0,13
12,10,Jos Verstappen,0,13
11,11,Jean Alesi,0,13
25,12,Pedro de la Rosa,0,13
15,13,Giancarlo Fisichella,0,13
23,14,Enrique Bernoldi,0,13
16,15,Jenson Button,0,13
14,16,Fernando Alonso,0,13
20,NC,Ralf Schumacher,0,13
10,NC,Luciano Burti,0,13
4,NC,David Coulthard,0,13
18,NC,Jarno Trulli,0,13
9,NC,Olivier Panis,0,13
20,1,Ralf Schumacher,10,14
5,2,Rubens Barrichello,6,14
21,3,Jacques Villeneuve,4,14
15,4,Giancarlo Fisichella,3,14
16,5,Jenson Button,2,14
11,6,Jean Alesi,1,14
9,7,Olivier Panis,0,14
23,8,Enrique Bernoldi,0,14
12,9,Jos Verstappen,0,14
14,10,Fernando Alonso,0,14
18,NC,Jarno Trulli,0,14
4,NC,David Coulthard,0,14
22,NC,Tarso Marques,0,14
17,NC,Juan Pablo Montoya,0,14
3,NC,Michael Schumacher,0,14
10,NC,Luciano Burti,0,14
8,NC,Kimi Räikkönen,0,14
13,NC,Eddie Irvine,0,14
19,NC,Mika Hakkinen,0,14
26,NC,Ricardo Zonta,0,14
6,NC,Nick Heidfeld,0,14
25,NC,Pedro de la Rosa,0,14
3,1,Michael Schumacher,10,15
5,2,Rubens Barrichello,6,15
4,3,David Coulthard,4,15
20,4,Ralf Schumacher,3,15
19,5,Mika Hakkinen,2,15
6,6,Nick Heidfeld,1,15
8,7,Kimi Räikkönen,0,15
17,8,Juan Pablo Montoya,0,15
21,9,Jacques Villeneuve,0,15
11,10,Jean Alesi,0,15
25,11,Pedro de la Rosa,0,15
12,12,Jos Verstappen,0,15
15,NC,Giancarlo Fisichella,0,15
7,NC,Heinz-Harald Frentzen,0,15
22,NC,Tarso Marques,0,15
9,NC,Olivier Panis,0,15
18,NC,Jarno Trulli,0,15
14,NC,Fernando Alonso,0,15
16,NC,Jenson Button,0,15
23,NC,Enrique Bernoldi,0,15
10,NC,Luciano Burti,0,15
13,NC,Eddie Irvine,0,15
3,1,Michael Schumacher,10,16
4,2,David Coulthard,6,16
15,3,Giancarlo Fisichella,4,16
19,4,Mika Hakkinen,3,16
5,5,Rubens Barrichello,2,16
11,6,Jean Alesi,1,16
20,7,Ralf Schumacher,0,16
21,8,Jacques Villeneuve,0,16
7,9,Heinz-Harald Frentzen,0,16
12,10,Jos Verstappen,0,16
9,11,Olivier Panis,0,16
23,12,Enrique Bernoldi,0,16
22,13,Tarso Marques,0,16
18,NC,Jarno Trulli,0,16
16,NC,Jenson Button,0,16
17,NC,Juan Pablo Montoya,0,16
25,NC,Pedro de la Rosa,0,16
17,1,Juan Pablo Montoya,10,17
5,2,Rubens Barrichello,6,17
20,3,Ralf Schumacher,4,17
3,4,Michael Schumacher,3,17
25,5,Pedro de la Rosa,2,17
21,6,Jacques Villeneuve,1,17
8,7,Kimi Räikkönen,0,17
11,8,Jean Alesi,0,17
9,9,Olivier Panis,0,17
15,10,Giancarlo Fisichella,0,17
6,11,Nick Heidfeld,0,17
27,12,Tomas Enge,0,17
14,13,Fernando Alonso,0,17
23,NC,Enrique Bernoldi,0,17
28,NC,Alex Yoong,0,17
7,NC,Heinz-Harald Frentzen,0,17
12,NC,Jos Verstappen,0,17
19,NC,Mika Hakkinen,0,17
13,NC,Eddie Irvine,0,17
4,NC,David Coulthard,0,17
16,NC,Jenson Button,0,17
18,NC,Jarno Trulli,0,17
19,1,Mika Hakkinen,10,18
3,2,Michael Schumacher,6,18
4,3,David Coulthard,4,18
18,4,Jarno Trulli,3,18
13,5,Eddie Irvine,2,18
6,6,Nick Heidfeld,1,18
11,7,Jean Alesi,0,18
15,8,Giancarlo Fisichella,0,18
16,9,Jenson Button,0,18
7,10,Heinz-Harald Frentzen,0,18
9,11,Olivier Panis,0,18
25,12,Pedro de la Rosa,0,18
23,13,Enrique Bernoldi,0,18
27,14,Tomas Enge,0,18
5,15,Rubens Barrichello,0,18
21,NC,Jacques Villeneuve,0,18
12,NC,Jos Verstappen,0,18
17,NC,Juan Pablo Montoya,0,18
28,NC,Alex Yoong,0,18
20,NC,Ralf Schumacher,0,18
14,NC,Fernando Alonso,0,18
8,NC,Kimi Räikkönen,0,18
3,1,Michael Schumacher,10,19
17,2,Juan Pablo Montoya,6,19
4,3,David Coulthard,4,19
19,4,Mika Hakkinen,3,19
5,5,Rubens Barrichello,2,19
20,6,Ralf Schumacher,1,19
16,7,Jenson Button,0,19
18,8,Jarno Trulli,0,19
6,9,Nick Heidfeld,0,19
21,10,Jacques Villeneuve,0,19
14,11,Fernando Alonso,0,19
7,12,Heinz-Harald Frentzen,0,19
9,13,Olivier Panis,0,19
23,14,Enrique Bernoldi,0,19
12,15,Jos Verstappen,0,19
28,16,Alex Yoong,0,19
15,17,Giancarlo Fisichella,0,19
25,NC,Pedro de la Rosa,0,19
27,NC,Tomas Enge,0,19
13,NC,Eddie Irvine,0,19
8,NC,Kimi Räikkönen,0,19
11,NC,Jean Alesi,0,19
3,1,Michael Schumacher,10,20
17,2,Juan Pablo Montoya,6,20
8,3,Kimi Räikkönen,4,20
13,4,Eddie Irvine,3,20
29,5,Mark Webber,2,20
30,6,Mika Salo,1,20
28,7,Alex Yoong,0,20
25,8,Pedro de la Rosa,0,20
4,NC,David Coulthard,0,20
21,NC,Jacques Villeneuve,0,20
31,NC,Takuma Sato,0,20
18,NC,Jarno Trulli,0,20
5,NC,Rubens Barrichello,0,20
20,NC,Ralf Schumacher,0,20
15,NC,Giancarlo Fisichella,0,20
32,NC,Felipe Massa,0,20
6,NC,Nick Heidfeld,0,20
16,NC,Jenson Button,0,20
9,NC,Olivier Panis,0,20
33,NC,Allan McNish,0,20
20,1,Ralf Schumacher,10,21
17,2,Juan Pablo Montoya,6,21
3,3,Michael Schumacher,4,21
16,4,Jenson Button,3,21
6,5,Nick Heidfeld,2,21
32,6,Felipe Massa,1,21
33,7,Allan McNish,0,21
21,8,Jacques Villeneuve,0,21
31,9,Takuma Sato,0,21
25,10,Pedro de la Rosa,0,21
7,11,Heinz-Harald Frentzen,0,21
30,12,Mika Salo,0,21
15,13,Giancarlo Fisichella,0,21
5,NC,Rubens Barrichello,0,21
29,NC,Mark Webber,0,21
13,NC,Eddie Irvine,0,21
28,NC,Alex Yoong,0,21
8,NC,Kimi Räikkönen,0,21
23,NC,Enrique Bernoldi,0,21
4,NC,David Coulthard,0,21
9,NC,Olivier Panis,0,21
18,NC,Jarno Trulli,0,21
3,1,Michael Schumacher,10,22
20,2,Ralf Schumacher,6,22
4,3,David Coulthard,4,22
16,4,Jenson Button,3,22
17,5,Juan Pablo Montoya,2,22
30,6,Mika Salo,1,22
13,7,Eddie Irvine,0,22
25,8,Pedro de la Rosa,0,22
31,9,Takuma Sato,0,22
21,10,Jacques Villeneuve,0,22
29,11,Mark Webber,0,22
8,12,Kimi Räikkönen,0,22
28,13,Alex Yoong,0,22
6,NC,Nick Heidfeld,0,22
18,NC,Jarno Trulli,0,22
32,NC,Felipe Massa,0,22
33,NC,Allan McNish,0,22
9,NC,Olivier Panis,0,22
7,NC,Heinz-Harald Frentzen,0,22
23,NC,Enrique Bernoldi,0,22
5,NC,Rubens Barrichello,0,22
15,NC,Giancarlo Fisichella,0,22
3,1,Michael Schumacher,10,23
5,2,Rubens Barrichello,6,23
20,3,Ralf Schumacher,4,23
17,4,Juan Pablo Montoya,3,23
16,5,Jenson Button,2,23
4,6,David Coulthard,1,23
21,7,Jacques Villeneuve,0,23
32,8,Felipe Massa,0,23
18,9,Jarno Trulli,0,23
6,10,Nick Heidfeld,0,23
29,11,Mark Webber,0,23
23,NC,Enrique Bernoldi,0,23
13,NC,Eddie Irvine,0,23
8,NC,Kimi Räikkönen,0,23
9,NC,Olivier Panis,0,23
25,NC,Pedro de la Rosa,0,23
30,NC,Mika Salo,0,23
7,NC,Heinz-Harald Frentzen,0,23
15,NC,Giancarlo Fisichella,0,23
31,NC,Takuma Sato,0,23
33,NC,Allan McNish,0,23
3,1,Michael Schumacher,10,24
17,2,Juan Pablo Montoya,6,24
4,3,David Coulthard,4,24
6,4,Nick Heidfeld,3,24
32,5,Felipe Massa,2,24
7,6,Heinz-Harald Frentzen,1,24
21,7,Jacques Villeneuve,0,24
33,8,Allan McNish,0,24
30,9,Mika Salo,0,24
18,10,Jarno Trulli,0,24
20,11,Ralf Schumacher,0,24
16,12,Jenson Button,0,24
9,NC,Olivier Panis,0,24
13,NC,Eddie Irvine,0,24
23,NC,Enrique Bernoldi,0,24
31,NC,Takuma Sato,0,24
15,NC,Giancarlo Fisichella,0,24
8,NC,Kimi Räikkönen,0,24
25,NC,Pedro de la Rosa,0,24
5,NC,Rubens Barrichello,0,24
3,1,Michael Schumacher,10,25
5,2,Rubens Barrichello,6,25
17,3,Juan Pablo Montoya,4,25
20,4,Ralf Schumacher,3,25
15,5,Giancarlo Fisichella,2,25
4,6,David Coulthard,1,25
16,7,Jenson Button,0,25
30,8,Mika Salo,0,25
33,9,Allan McNish,0,25
21,10,Jacques Villeneuve,0,25
7,11,Heinz-Harald Frentzen,0,25
29,12,Mark Webber,0,25
18,NC,Jarno Trulli,0,25
28,NC,Alex Yoong,0,25
13,NC,Eddie Irvine,0,25
6,NC,Nick Heidfeld,0,25
31,NC,Takuma Sato,0,25
9,NC,Olivier Panis,0,25
32,NC,Felipe Massa,0,25
8,NC,Kimi Räikkönen,0,25
23,NC,Enrique Bernoldi,0,25
25,NC,Pedro de la Rosa,0,25
4,1,David Coulthard,10,26
3,2,Michael Schumacher,6,26
20,3,Ralf Schumacher,4,26
18,4,Jarno Trulli,3,26
15,5,Giancarlo Fisichella,2,26
7,6,Heinz-Harald Frentzen,1,26
5,7,Rubens Barrichello,0,26
6,8,Nick Heidfeld,0,26
13,9,Eddie Irvine,0,26
25,10,Pedro de la Rosa,0,26
29,11,Mark Webber,0,26
23,12,Enrique Bernoldi,0,26
30,NC,Mika Salo,0,26
32,NC,Felipe Massa,0,26
9,NC,Olivier Panis,0,26
16,NC,Jenson Button,0,26
17,NC,Juan Pablo Montoya,0,26
21,NC,Jacques Villeneuve,0,26
8,NC,Kimi Räikkönen,0,26
28,NC,Alex Yoong,0,26
31,NC,Takuma Sato,0,26
33,NC,Allan McNish,0,26
3,1,Michael Schumacher,10,27
4,2,David Coulthard,6,27
5,3,Rubens Barrichello,4,27
8,4,Kimi Räikkönen,3,27
15,5,Giancarlo Fisichella,2,27
18,6,Jarno Trulli,1,27
20,7,Ralf Schumacher,0,27
9,8,Olivier Panis,0,27
32,9,Felipe Massa,0,27
31,10,Takuma Sato,0,27
29,11,Mark Webber,0,27
6,12,Nick Heidfeld,0,27
7,13,Heinz-Harald Frentzen,0,27
28,14,Alex Yoong,0,27
16,15,Jenson Button,0,27
17,NC,Juan Pablo Montoya,0,27
33,NC,Allan McNish,0,27
13,NC,Eddie Irvine,0,27
30,NC,Mika Salo,0,27
25,NC,Pedro de la Rosa,0,27
23,NC,Enrique Bernoldi,0,27
21,NC,Jacques Villeneuve,0,27
5,1,Rubens Barrichello,10,28
3,2,Michael Schumacher,6,28
8,3,Kimi Räikkönen,4,28
20,4,Ralf Schumacher,3,28
16,5,Jenson Button,2,28
32,6,Felipe Massa,1,28
6,7,Nick Heidfeld,0,28
18,8,Jarno Trulli,0,28
9,9,Olivier Panis,0,28
23,10,Enrique Bernoldi,0,28
25,11,Pedro de la Rosa,0,28
21,12,Jacques Villeneuve,0,28
7,13,Heinz-Harald Frentzen,0,28
33,14,Allan McNish,0,28
29,15,Mark Webber,0,28
31,16,Takuma Sato,0,28
30,NC,Mika Salo,0,28
28,NC,Alex Yoong,0,28
13,NC,Eddie Irvine,0,28
17,NC,Juan Pablo Montoya,0,28
4,NC,David Coulthard,0,28
15,NC,Giancarlo Fisichella,0,28
3,1,Michael Schumacher,10,29
5,2,Rubens Barrichello,6,29
17,3,Juan Pablo Montoya,4,29
21,4,Jacques Villeneuve,3,29
9,5,Olivier Panis,2,29
6,6,Nick Heidfeld,1,29
15,7,Giancarlo Fisichella,0,29
20,8,Ralf Schumacher,0,29
32,9,Felipe Massa,0,29
4,10,David Coulthard,0,29
25,11,Pedro de la Rosa,0,29
16,12,Jenson Button,0,29
31,NC,Takuma Sato,0,29
8,NC,Kimi Räikkönen,0,29
18,NC,Jarno Trulli,0,29
23,NC,Enrique Bernoldi,0,29
13,NC,Eddie Irvine,0,29
7,NC,Heinz-Harald Frentzen,0,29
30,NC,Mika Salo,0,29
29,NC,Mark Webber,0,29
33,NC,Allan McNish,0,29
3,1,Michael Schumacher,10,30
8,2,Kimi Räikkönen,6,30
4,3,David Coulthard,4,30
17,4,Juan Pablo Montoya,3,30
20,5,Ralf Schumacher,2,30
16,6,Jenson Button,1,30
6,7,Nick Heidfeld,0,30
29,8,Mark Webber,0,30
25,9,Pedro de la Rosa,0,30
28,10,Alex Yoong,0,30
33,11,Allan McNish,0,30
13,NC,Eddie Irvine,0,30
18,NC,Jarno Trulli,0,30
32,NC,Felipe Massa,0,30
30,NC,Mika Salo,0,30
21,NC,Jacques Villeneuve,0,30
9,NC,Olivier Panis,0,30
31,NC,Takuma Sato,0,30
5,NC,Rubens Barrichello,0,30
3,1,Michael Schumacher,10,31
17,2,Juan Pablo Montoya,6,31
20,3,Ralf Schumacher,4,31
5,4,Rubens Barrichello,3,31
4,5,David Coulthard,2,31
6,6,Nick Heidfeld,1,31
32,7,Felipe Massa,0,31
31,8,Takuma Sato,0,31
30,9,Mika Salo,0,31
15,NC,Giancarlo Fisichella,0,31
8,NC,Kimi Räikkönen,0,31
13,NC,Eddie Irvine,0,31
23,NC,Enrique Bernoldi,0,31
9,NC,Olivier Panis,0,31
18,NC,Jarno Trulli,0,31
21,NC,Jacques Villeneuve,0,31
16,NC,Jenson Button,0,31
33,NC,Allan McNish,0,31
29,NC,Mark Webber,0,31
7,NC,Heinz-Harald Frentzen,0,31
25,NC,Pedro de la Rosa,0,31
5,1,Rubens Barrichello,10,32
3,2,Michael Schumacher,6,32
20,3,Ralf Schumacher,4,32
8,4,Kimi Räikkönen,3,32
4,5,David Coulthard,2,32
15,6,Giancarlo Fisichella,1,32
32,7,Felipe Massa,0,32
18,8,Jarno Trulli,0,32
6,9,Nick Heidfeld,0,32
31,10,Takuma Sato,0,32
17,11,Juan Pablo Montoya,0,32
9,12,Olivier Panis,0,32
25,13,Pedro de la Rosa,0,32
33,14,Allan McNish,0,32
30,15,Mika Salo,0,32
29,16,Mark Webber,0,32
34,NC,Anthony Davidson,0,32
16,NC,Jenson Button,0,32
13,NC,Eddie Irvine,0,32
21,NC,Jacques Villeneuve,0,32
3,1,Michael Schumacher,10,33
5,2,Rubens Barrichello,6,33
17,3,Juan Pablo Montoya,4,33
4,4,David Coulthard,3,33
20,5,Ralf Schumacher,2,33
13,6,Eddie Irvine,1,33
30,7,Mika Salo,0,33
21,8,Jacques Villeneuve,0,33
33,9,Allan McNish,0,33
6,10,Nick Heidfeld,0,33
31,11,Takuma Sato,0,33
9,12,Olivier Panis,0,33
15,NC,Giancarlo Fisichella,0,33
25,NC,Pedro de la Rosa,0,33
32,NC,Felipe Massa,0,33
8,NC,Kimi Räikkönen,0,33
18,NC,Jarno Trulli,0,33
34,NC,Anthony Davidson,0,33
16,NC,Jenson Button,0,33
