driver_name,driver_id,race_id,session,avg_pace_soft,std_pace_soft,laps_on_soft,deg_rate_soft,avg_pace_medium,std_pace_medium,laps_on_medium,deg_rate_medium,avg_pace_hard,std_pace_hard,laps_on_hard,deg_rate_hard,avg_pace_intermediate,std_pace_intermediate,laps_on_intermediate,deg_rate_intermediate,avg_pace_wet,std_pace_wet,laps_on_wet,deg_rate_wet
OCO,101.0,21,FP3,99.156,0.1450000000000031,2,,,,0,,,,0,,,,0,,,,0,
PER,75.0,21,FP3,124.56428571428572,22.005774610408096,7,-0.053965767634855,,,0,,,,0,,,,0,,,,0,
RAI,6.0,21,FP3,107.953,11.020462875941282,8,-0.2070447761194022,,,0,,,,0,,,,0,,,,0,
RIC,79.0,21,FP3,107.21150000000002,14.54870636001703,4,-1.7489659863945584,,,0,,,,0,,,,0,,,,0,
SAI,93.0,21,FP3,119.1607,19.68340998429896,10,-0.8025999999999995,,,0,,,,0,,,,0,,,,0,
SIR,107.0,21,FP3,117.84723076923078,19.3073699485808,13,1.0710537178786217,,,0,,,,0,,,,0,,,,0,
STR,103.0,21,FP3,107.357125,12.05416214879222,8,-1.217603174603175,,,0,,,,0,,,,0,,,,0,
VAN,100.0,21,FP3,111.42775,18.472966997412733,4,0.4572666666666677,,,0,,,,0,,,,0,,,,0,
VER,94.0,21,FP3,122.66514285714284,20.943666894304634,7,1.2845988636363634,,,0,,,,0,,,,0,,,,0,
VET,60.0,21,FP3,115.87359999999998,22.04842379491106,5,1.675761083743842,,,0,,,,0,,,,0,,,,0,
ALO,12.0,21,Qualifying,98.58939999999998,0.7574147080694966,5,-0.0966999999999998,,,0,,,,0,,,,0,,,,0,
BOT,83.0,21,Qualifying,101.12557142857143,11.642997808089795,7,1.0000481770833338,,,0,,,,0,,,,0,,,,0,
ERI,89.0,21,Qualifying,98.1186,0.8714146200288339,5,-0.2066827411167507,,,0,,,,0,,,,0,,,,0,
GAS,104.0,21,Qualifying,98.60733333333332,0.3273350305454983,3,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,21,Qualifying,96.7672,0.5147657331252758,5,-0.1163666666666671,,,0,,,,0,,,,0,,,,0,
HAM,57.0,21,Qualifying,101.35800000000002,11.92184747188359,7,1.0415325520833334,,,0,,,,0,,,,0,,,,0,
HAR,105.0,21,Qualifying,98.27799999999998,0.3123470292265726,3,,,,0,,,,0,,,,0,,,,0,
HUL,70.0,21,Qualifying,104.27783333333332,16.433928485673235,6,1.908375796178344,,,0,,,,0,,,,0,,,,0,
LEC,106.0,21,Qualifying,106.5358888888889,17.38781539817431,9,1.2802719836400818,,,0,,,,0,,,,0,,,,0,
MAG,87.0,21,Qualifying,97.9625,0.4889061770933169,4,-0.0977333333333338,,,0,,,,0,,,,0,,,,0,
OCO,101.0,21,Qualifying,97.18833333333332,0.549732258063464,6,-0.0826857142857143,,,0,,,,0,,,,0,,,,0,
PER,75.0,21,Qualifying,97.88875,0.5039704232393031,4,-0.0361666666666664,,,0,,,,0,,,,0,,,,0,
RAI,6.0,21,Qualifying,96.762,1.061122675911386,6,-0.1192390243902445,,,0,,,,0,,,,0,,,,0,
RIC,79.0,21,Qualifying,97.0326,1.7532893201066422,5,-0.13591391941392,,,0,,,,0,,,,0,,,,0,
SAI,93.0,21,Qualifying,97.296,0.333029528220349,3,,,,0,,,,0,,,,0,,,,0,
SIR,107.0,21,Qualifying,99.163,0.5279999999999987,2,,,,0,,,,0,,,,0,,,,0,
STR,103.0,21,Qualifying,99.423,0.7409999999999997,2,,,,0,,,,0,,,,0,,,,0,
VAN,100.0,21,Qualifying,99.19833333333334,0.5022252703938979,3,,,,0,,,,0,,,,0,,,,0,
VER,94.0,21,Qualifying,96.54475,0.706341410013599,4,-0.1974999999999994,,,0,,,,0,,,,0,,,,0,
VET,60.0,21,Qualifying,105.939875,16.911631473910933,8,0.077397540983607,,,0,,,,0,,,,0,,,,0,
ALO,12.0,21,Race,108.404,9.5651570640306,47,-0.3281667200785358,,,0,,,,0,,,,0,,,,0,
BOT,83.0,21,Race,105.59431111111108,7.325768251930145,45,-0.1995956428391565,,,0,,,,0,,,,0,,,,0,
ERI,89.0,21,Race,111.1702,12.20847811809482,20,-1.1176308018192012,,,0,,,,0,,,,0,,,,0,
GAS,104.0,21,Race,108.3448,9.356833580864842,40,-0.3572041780941823,,,0,,,,0,,,,0,,,,0,
GRO,67.0,21,Race,108.38955102040816,9.062347484005802,49,-0.3218029085193628,,,0,,,,0,,,,0,,,,0,
HAM,57.0,21,Race,105.24848979591836,7.569615799493174,49,-0.2266003214891314,,,0,,,,0,,,,0,,,,0,
HAR,105.0,21,Race,108.73818750000002,9.6170645656914,48,-0.295921056277307,,,0,,,,0,,,,0,,,,0,
LEC,106.0,21,Race,107.6679,8.888156020795314,50,-0.3100897392543135,,,0,,,,0,,,,0,,,,0,
MAG,87.0,21,Race,107.96830434782608,9.487485860376848,46,-0.3164945651688106,,,0,,,,0,,,,0,,,,0,
OCO,101.0,21,Race,108.57920512820512,9.11925643386786,39,-0.4171100429237614,,,0,,,,0,,,,0,,,,0,
PER,75.0,21,Race,107.398375,8.860408579332464,48,-0.30575795516563,,,0,,,,0,,,,0,,,,0,
RAI,6.0,21,Race,121.76766666666668,16.755873802606928,3,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,21,Race,105.91316666666668,8.547032460970819,48,-0.2771570557758502,,,0,,,,0,,,,0,,,,0,
SAI,93.0,21,Race,106.6158085106383,8.68838581741557,47,-0.3023159558268131,,,0,,,,0,,,,0,,,,0,
SIR,107.0,21,Race,108.7393695652174,9.713434500639009,46,-0.312126864305576,,,0,,,,0,,,,0,,,,0,
STR,103.0,21,Race,108.39789130434784,9.158350499925715,46,-0.2900512732737006,,,0,,,,0,,,,0,,,,0,
VAN,100.0,21,Race,108.9182978723404,10.033191106702418,47,-0.3422782642920397,,,0,,,,0,,,,0,,,,0,
VER,94.0,21,Race,105.87104166666666,8.967400280456458,48,-0.2928422722920738,,,0,,,,0,,,,0,,,,0,
VET,60.0,21,Race,104.98248936170214,7.460677588508571,47,-0.2419254123809762,,,0,,,,0,,,,0,,,,0,
ALO,12.0,1,FP1,90.478125,4.985082031358659,8,-0.194011152416357,,,0,,,,0,,,,0,,,,0,
BOT,83.0,1,FP1,93.50664705882352,10.539561945027865,17,-0.5612818444995862,,,0,,,,0,,,,0,,,,0,
ERI,89.0,1,FP1,96.7538,15.363986493094815,20,-1.1208675016479883,,,0,,,,0,,,,0,,,,0,
GAS,104.0,1,FP1,96.04192857142856,10.845311432426756,14,-1.042050166297117,,,0,,,,0,,,,0,,,,0,
