date,driver_id,team_id,position,driver_name,points
13 MAY 2001,8,21,11,Luciano Burti,0
13 MAY 2001,14,24,NC,Jenson Button,0
13 MAY 2001,23,20,NC,Pedro de la Rosa,0
13 MAY 2001,15,8,NC,Juan Pablo Montoya,0
13 MAY 2001,12,23,NC,Fernando Alonso,0
13 MAY 2001,20,23,NC,Tarso Marques,0
13 MAY 2001,21,22,NC,Enrique Bernoldi,0
13 MAY 2001,18,8,NC,Ralf Schumacher,0
13 MAY 2001,13,24,NC,Giancarlo Fisichella,0
13 MAY 2001,17,4,NC,Mika Hakkinen,0
13 MAY 2001,5,18,NC,Heinz-Harald Frentzen,0
27 MAY 2001,1,1,1,Michael Schumacher,10
27 MAY 2001,3,1,2,Rubens Barrichello,6
27 MAY 2001,11,20,3,Eddie Irvine,4
27 MAY 2001,19,19,4,Jacques Villeneuve,3
27 MAY 2001,2,4,5,David Coulthard,2
27 MAY 2001,9,21,6,Jean Alesi,1
27 MAY 2001,14,24,7,Jenson Button,0
27 MAY 2001,10,22,8,Jos Verstappen,0
27 MAY 2001,21,22,9,Enrique Bernoldi,0
27 MAY 2001,6,7,10,Kimi Räikkönen,0
27 MAY 2001,18,8,NC,Ralf Schumacher,0
27 MAY 2001,20,23,NC,Tarso Marques,0
27 MAY 2001,12,23,NC,Fernando Alonso,0
27 MAY 2001,5,18,NC,Heinz-Harald Frentzen,0
27 MAY 2001,13,24,NC,Giancarlo Fisichella,0
27 MAY 2001,16,18,NC,Jarno Trulli,0
27 MAY 2001,8,21,NC,Luciano Burti,0
27 MAY 2001,23,20,NC,Pedro de la Rosa,0
27 MAY 2001,17,4,NC,Mika Hakkinen,0
27 MAY 2001,7,19,NC,Olivier Panis,0
27 MAY 2001,15,8,NC,Juan Pablo Montoya,0
27 MAY 2001,4,7,NC,Nick Heidfeld,0
10 JUN 2001,18,8,1,Ralf Schumacher,10
10 JUN 2001,1,1,2,Michael Schumacher,6
10 JUN 2001,17,4,3,Mika Hakkinen,4
10 JUN 2001,6,7,4,Kimi Räikkönen,3
10 JUN 2001,9,21,5,Jean Alesi,2
10 JUN 2001,23,20,6,Pedro de la Rosa,1
10 JUN 2001,24,18,7,Ricardo Zonta,0
10 JUN 2001,8,21,8,Luciano Burti,0
10 JUN 2001,20,23,9,Tarso Marques,0
10 JUN 2001,10,22,10,Jos Verstappen,0
10 JUN 2001,16,18,11,Jarno Trulli,0
10 JUN 2001,2,4,NC,David Coulthard,0
10 JUN 2001,7,19,NC,Olivier Panis,0
10 JUN 2001,19,19,NC,Jacques Villeneuve,0
10 JUN 2001,21,22,NC,Enrique Bernoldi,0
10 JUN 2001,15,8,NC,Juan Pablo Montoya,0
10 JUN 2001,3,1,NC,Rubens Barrichello,0
10 JUN 2001,14,24,NC,Jenson Button,0
10 JUN 2001,12,23,NC,Fernando Alonso,0
10 JUN 2001,4,7,NC,Nick Heidfeld,0
10 JUN 2001,11,20,NC,Eddie Irvine,0
10 JUN 2001,13,24,NC,Giancarlo Fisichella,0
24 JUN 2001,1,1,1,Michael Schumacher,10
24 JUN 2001,15,8,2,Juan Pablo Montoya,6
24 JUN 2001,2,4,3,David Coulthard,4
24 JUN 2001,18,8,4,Ralf Schumacher,3
24 JUN 2001,3,1,5,Rubens Barrichello,2
24 JUN 2001,17,4,6,Mika Hakkinen,1
24 JUN 2001,11,20,7,Eddie Irvine,0
24 JUN 2001,23,20,8,Pedro de la Rosa,0
24 JUN 2001,19,19,9,Jacques Villeneuve,0
24 JUN 2001,6,7,10,Kimi Räikkönen,0
24 JUN 2001,13,24,11,Giancarlo Fisichella,0
24 JUN 2001,8,21,12,Luciano Burti,0
24 JUN 2001,14,24,13,Jenson Button,0
24 JUN 2001,12,23,14,Fernando Alonso,0
24 JUN 2001,9,21,15,Jean Alesi,0
24 JUN 2001,10,22,NC,Jos Verstappen,0
24 JUN 2001,4,7,NC,Nick Heidfeld,0
24 JUN 2001,5,18,NC,Heinz-Harald Frentzen,0
24 JUN 2001,16,18,NC,Jarno Trulli,0
24 JUN 2001,21,22,NC,Enrique Bernoldi,0
24 JUN 2001,7,19,NC,Olivier Panis,0
24 JUN 2001,20,23,NC,Tarso Marques,0
01 JUL 2001,1,1,1,Michael Schumacher,10
01 JUL 2001,18,8,2,Ralf Schumacher,6
01 JUL 2001,3,1,3,Rubens Barrichello,4
01 JUL 2001,2,4,4,David Coulthard,3
01 JUL 2001,16,18,5,Jarno Trulli,2
01 JUL 2001,4,7,6,Nick Heidfeld,1
01 JUL 2001,6,7,7,Kimi Räikkönen,0
01 JUL 2001,5,18,8,Heinz-Harald Frentzen,0
01 JUL 2001,7,19,9,Olivier Panis,0
01 JUL 2001,8,21,10,Luciano Burti,0
01 JUL 2001,13,24,11,Giancarlo Fisichella,0
01 JUL 2001,9,21,12,Jean Alesi,0
01 JUL 2001,10,22,13,Jos Verstappen,0
01 JUL 2001,23,20,14,Pedro de la Rosa,0
01 JUL 2001,20,23,15,Tarso Marques,0
01 JUL 2001,14,24,16,Jenson Button,0
01 JUL 2001,12,23,17,Fernando Alonso,0
01 JUL 2001,11,20,NC,Eddie Irvine,0
01 JUL 2001,15,8,NC,Juan Pablo Montoya,0
01 JUL 2001,21,22,NC,Enrique Bernoldi,0
01 JUL 2001,19,19,NC,Jacques Villeneuve,0
01 JUL 2001,17,4,NC,Mika Hakkinen,0
15 JUL 2001,17,4,1,Mika Hakkinen,10
15 JUL 2001,1,1,2,Michael Schumacher,6
15 JUL 2001,3,1,3,Rubens Barrichello,4
15 JUL 2001,15,8,4,Juan Pablo Montoya,3
15 JUL 2001,6,7,5,Kimi Räikkönen,2
15 JUL 2001,4,7,6,Nick Heidfeld,1
15 JUL 2001,5,18,7,Heinz-Harald Frentzen,0
15 JUL 2001,19,19,8,Jacques Villeneuve,0
15 JUL 2001,11,20,9,Eddie Irvine,0
15 JUL 2001,10,22,10,Jos Verstappen,0
15 JUL 2001,9,21,11,Jean Alesi,0
15 JUL 2001,23,20,12,Pedro de la Rosa,0
15 JUL 2001,13,24,13,Giancarlo Fisichella,0
15 JUL 2001,21,22,14,Enrique Bernoldi,0
15 JUL 2001,14,24,15,Jenson Button,0
15 JUL 2001,12,23,16,Fernando Alonso,0
15 JUL 2001,18,8,NC,Ralf Schumacher,0
15 JUL 2001,8,21,NC,Luciano Burti,0
15 JUL 2001,2,4,NC,David Coulthard,0
15 JUL 2001,16,18,NC,Jarno Trulli,0
15 JUL 2001,7,19,NC,Olivier Panis,0
29 JUL 2001,18,8,1,Ralf Schumacher,10
29 JUL 2001,3,1,2,Rubens Barrichello,6
29 JUL 2001,19,19,3,Jacques Villeneuve,4
29 JUL 2001,13,24,4,Giancarlo Fisichella,3
29 JUL 2001,14,24,5,Jenson Button,2
29 JUL 2001,9,21,6,Jean Alesi,1
29 JUL 2001,7,19,7,Olivier Panis,0
29 JUL 2001,21,22,8,Enrique Bernoldi,0
29 JUL 2001,10,22,9,Jos Verstappen,0
29 JUL 2001,12,23,10,Fernando Alonso,0
29 JUL 2001,16,18,NC,Jarno Trulli,0
29 JUL 2001,2,4,NC,David Coulthard,0
29 JUL 2001,20,23,NC,Tarso Marques,0
29 JUL 2001,15,8,NC,Juan Pablo Montoya,0
29 JUL 2001,1,1,NC,Michael Schumacher,0
29 JUL 2001,8,21,NC,Luciano Burti,0
29 JUL 2001,6,7,NC,Kimi Räikkönen,0
29 JUL 2001,11,20,NC,Eddie Irvine,0
29 JUL 2001,17,4,NC,Mika Hakkinen,0
29 JUL 2001,24,18,NC,Ricardo Zonta,0
29 JUL 2001,4,7,NC,Nick Heidfeld,0
29 JUL 2001,23,20,NC,Pedro de la Rosa,0
19 AUG 2001,1,1,1,Michael Schumacher,10
19 AUG 2001,3,1,2,Rubens Barrichello,6
19 AUG 2001,2,4,3,David Coulthard,4
19 AUG 2001,18,8,4,Ralf Schumacher,3
19 AUG 2001,17,4,5,Mika Hakkinen,2
19 AUG 2001,4,7,6,Nick Heidfeld,1
19 AUG 2001,6,7,7,Kimi Räikkönen,0
19 AUG 2001,15,8,8,Juan Pablo Montoya,0
19 AUG 2001,19,19,9,Jacques Villeneuve,0
19 AUG 2001,9,18,10,Jean Alesi,0
19 AUG 2001,23,20,11,Pedro de la Rosa,0
19 AUG 2001,10,22,12,Jos Verstappen,0
19 AUG 2001,13,24,NC,Giancarlo Fisichella,0
19 AUG 2001,5,21,NC,Heinz-Harald Frentzen,0
19 AUG 2001,20,23,NC,Tarso Marques,0
19 AUG 2001,7,19,NC,Olivier Panis,0
19 AUG 2001,16,18,NC,Jarno Trulli,0
19 AUG 2001,12,23,NC,Fernando Alonso,0
19 AUG 2001,14,24,NC,Jenson Button,0
19 AUG 2001,21,22,NC,Enrique Bernoldi,0
19 AUG 2001,8,21,NC,Luciano Burti,0
19 AUG 2001,11,20,NC,Eddie Irvine,0
02 SEP 2001,1,1,1,Michael Schumacher,10
02 SEP 2001,2,4,2,David Coulthard,6
02 SEP 2001,13,24,3,Giancarlo Fisichella,4
02 SEP 2001,17,4,4,Mika Hakkinen,3
02 SEP 2001,3,1,5,Rubens Barrichello,2
02 SEP 2001,9,18,6,Jean Alesi,1
02 SEP 2001,18,8,7,Ralf Schumacher,0
02 SEP 2001,19,19,8,Jacques Villeneuve,0
02 SEP 2001,5,21,9,Heinz-Harald Frentzen,0
02 SEP 2001,10,22,10,Jos Verstappen,0
02 SEP 2001,7,19,11,Olivier Panis,0
02 SEP 2001,21,22,12,Enrique Bernoldi,0
02 SEP 2001,20,23,13,Tarso Marques,0
02 SEP 2001,16,18,NC,Jarno Trulli,0
02 SEP 2001,14,24,NC,Jenson Button,0
02 SEP 2001,15,8,NC,Juan Pablo Montoya,0
02 SEP 2001,23,20,NC,Pedro de la Rosa,0
16 SEP 2001,15,8,1,Juan Pablo Montoya,10
16 SEP 2001,3,1,2,Rubens Barrichello,6
16 SEP 2001,18,8,3,Ralf Schumacher,4
16 SEP 2001,1,1,4,Michael Schumacher,3
16 SEP 2001,23,20,5,Pedro de la Rosa,2
16 SEP 2001,19,19,6,Jacques Villeneuve,1
16 SEP 2001,6,7,7,Kimi Räikkönen,0
16 SEP 2001,9,18,8,Jean Alesi,0
16 SEP 2001,7,19,9,Olivier Panis,0
16 SEP 2001,13,24,10,Giancarlo Fisichella,0
16 SEP 2001,4,7,11,Nick Heidfeld,0
16 SEP 2001,25,21,12,Tomas Enge,0
16 SEP 2001,12,23,13,Fernando Alonso,0
16 SEP 2001,21,22,NC,Enrique Bernoldi,0
16 SEP 2001,26,23,NC,Alex Yoong,0
16 SEP 2001,5,21,NC,Heinz-Harald Frentzen,0
16 SEP 2001,10,22,NC,Jos Verstappen,0
16 SEP 2001,17,4,NC,Mika Hakkinen,0
16 SEP 2001,11,20,NC,Eddie Irvine,0
16 SEP 2001,2,4,NC,David Coulthard,0
16 SEP 2001,14,24,NC,Jenson Button,0
16 SEP 2001,16,18,NC,Jarno Trulli,0
30 SEP 2001,17,4,1,Mika Hakkinen,10
30 SEP 2001,1,1,2,Michael Schumacher,6
30 SEP 2001,2,4,3,David Coulthard,4
30 SEP 2001,16,18,4,Jarno Trulli,3
30 SEP 2001,11,20,5,Eddie Irvine,2
30 SEP 2001,4,7,6,Nick Heidfeld,1
30 SEP 2001,9,18,7,Jean Alesi,0
30 SEP 2001,13,24,8,Giancarlo Fisichella,0
30 SEP 2001,14,24,9,Jenson Button,0
30 SEP 2001,5,21,10,Heinz-Harald Frentzen,0
30 SEP 2001,7,19,11,Olivier Panis,0
30 SEP 2001,23,20,12,Pedro de la Rosa,0
30 SEP 2001,21,22,13,Enrique Bernoldi,0
30 SEP 2001,25,21,14,Tomas Enge,0
30 SEP 2001,3,1,15,Rubens Barrichello,0
30 SEP 2001,19,19,NC,Jacques Villeneuve,0
30 SEP 2001,10,22,NC,Jos Verstappen,0
30 SEP 2001,15,8,NC,Juan Pablo Montoya,0
30 SEP 2001,26,23,NC,Alex Yoong,0
30 SEP 2001,18,8,NC,Ralf Schumacher,0
30 SEP 2001,12,23,NC,Fernando Alonso,0
30 SEP 2001,6,7,NC,Kimi Räikkönen,0
14 OCT 2001,1,1,1,Michael Schumacher,10
14 OCT 2001,15,8,2,Juan Pablo Montoya,6
14 OCT 2001,2,4,3,David Coulthard,4
14 OCT 2001,17,4,4,Mika Hakkinen,3
14 OCT 2001,3,1,5,Rubens Barrichello,2
14 OCT 2001,18,8,6,Ralf Schumacher,1
14 OCT 2001,14,24,7,Jenson Button,0
14 OCT 2001,16,18,8,Jarno Trulli,0
14 OCT 2001,4,7,9,Nick Heidfeld,0
14 OCT 2001,19,19,10,Jacques Villeneuve,0
