original_name,cleaned_name,city,country,latitude,longitude,elevation
Madring *,Madring,Barajas,Spain,40.47855263766751,-3.622643244168798,676.0
Marina Bay Street Circuit *,Marina Bay Street Circuit,Marina Bay,Singapore,1.2887437016096093,103.86239086865196,18.0
Miami International Autodrome *,Miami International Autodrome,Miami Gardens,United States,25.95747875,-80.23785615876416,13.0
Mosport International Raceway,Mosport International Raceway,Bowmanville,Canada,44.04913855,-78.67451128931731,307.0
Pescara Circuit,Pescara Circuit,Pescara,Italy,42.464111767379016,14.205421620933064,6.0
Phoenix Street Circuit,Phoenix Street Circuit,Phoenix,United States,33.4484367,-112.074141,351.0
Prince George Circuit,Prince George Circuit,East London,South Africa,-33.04683364000829,27.879027500101937,15.0
Red Bull Ring *,Red Bull Ring,Spielberg,Austria,47.2221313,14.764316357509522,683.0
Riverside International Raceway,Riverside International Raceway,Moreno Valley,United States,33.9375177,-117.2305791,502.0
Scandinavian Raceway,Scandinavian Raceway,Anderstorp,Sweden,57.2638107,13.602184157120409,154.0
Sebring Raceway,Sebring Raceway,Sebring,United States,27.45349325,-81.35310383642708,20.0
Sepang International Circuit,Sepang International Circuit,Sepang,Malaysia,2.7602187,101.73687579817968,45.0
Shanghai International Circuit *,Shanghai International Circuit,Shanghai,China,31.33997925,121.2195975921289,7.0
Silverstone Circuit *,Silverstone Circuit,Silverstone,United Kingdom,52.0718116,-1.0142991241568575,156.0
Sochi Autodrom,Sochi Autodrom,Sochi,Russia,43.40951443742079,39.95765874505073,-3.0
Suzuka International Racing Course *,Suzuka International Racing Course,Suzuka,Japan,44.2763717,142.64245161634244,200.0
Valencia Street Circuit,Valencia Street Circuit,Valencia,Spain,39.4858132,-0.6286386493285684,147.0
Watkins Glen International,Watkins Glen International,Watkins Glen,United States,42.3363805,-76.92504880603917,491.0
Yas Marina Circuit *,Yas Marina Circuit,Abu Dhabi,United Arab Emirates,24.47184695,54.605802122845546,3.0
Zeltweg Airfield,Zeltweg Airfield,Zeltweg,Austria,47.20382115,14.747025333969862,674.0
Autódromo do Estoril,Autdromo do Estoril,Estoril,Portugal,38.7502982,-9.39360902935184,134.0
Autódromo Hermanos Rodríguez *,Autdromo Hermanos Rodrguez,Mexico City,Mexico,19.32159695,-99.18492592593145,2303.0
Autódromo Internacional do Rio de Janeiro,Autdromo Internacional do Rio de Janeiro,Rio de Janeiro,Brazil,-22.9110137,-43.2093727,9.0
Autodromo José Carlos Pace *,Autodromo Jos Carlos Pace,São Paulo,Brazil,-23.70182445,-46.69691577416339,754.0
Autódromo Oscar y Juan Gálvez,Autdromo Oscar y Juan Glvez,Buenos Aires,Argentina,-34.68977015,-58.452546256257335,1.0
Circuit de Barcelona-Catalunya *,Circuit de BarcelonaCatalunya,Montmeló,Spain,41.56878575,2.2574392462214834,129.0
Circuit de Nevers Magny-Cours,Circuit de Nevers MagnyCours,Magny-Cours,France,46.8637548,3.1662123213342817,220.0
Circuit de Reims-Gueux,Circuit de ReimsGueux,Gueux,France,49.25404675,3.9306554499999997,90.0
Circuit de Spa-Francorchamps *,Circuit de SpaFrancorchamps,Stavelot,Belgium,50.436933100000005,5.9701330467948495,381.0
Circuit Dijon-Prenois,Circuit DijonPrenois,Prenois,France,47.3630753,4.900159520171957,481.0
Circuit Gilles-Villeneuve *,Circuit GillesVilleneuve,Montreal,Canada,45.52531345,-73.66523150929845,31.0
Circuit Mont-Tremblant,Circuit MontTremblant,Mont-Tremblant,Canada,46.18871977178442,-74.60980394274335,210.0
Montjuïc circuit,Montjuc circuit,Barcelona,Spain,41.3631512,2.1656148,189.0
Nivelles-Baulers,NivellesBaulers,Nivelles,Belgium,50.5976885,4.3235854,102.0
Nürburgring,Nrburgring,Nürburg,Germany,50.3309196,6.940674171000003,606.0
Rouen-Les-Essarts,RouenLesEssarts,Orival,France,45.2771381,0.0715936,89.0
