race_id,driver_id,team_id,avg_pit_time_last_5,avg_pit_time_last_10
-33,60,1,23.673,23.1176
-33,67,10,27.1884,27.8829
-33,70,5,35.4024,30.8687
-33,75,6,27.3148,26.5834
-33,79,3,25.9978,25.6727
-33,83,2,25.3158,25.028799999999997
-33,87,10,26.000600000000002,26.901400000000002
-33,88,9,26.673000000000002,26.374666666666666
-33,89,7,30.6428,31.624900000000004
-33,93,9,26.372200000000003,25.8512
-33,97,5,28.4752,27.83811111111111
-33,100,4,28.9036,27.1055
-33,101,6,25.860599999999998,26.8084
-33,103,8,27.0236,26.733800000000002
-32,6,1,24.987000000000002,23.0537
-32,12,4,28.086399999999998,26.0659
-32,57,2,24.1844,24.5347
-32,60,1,23.943,23.9009
-32,67,10,26.494,27.880399999999998
-32,70,5,33.965199999999996,30.7354
-32,75,6,26.604000000000003,26.8774
-32,76,8,23.728600000000004,23.728600000000004
-32,83,2,24.8262,24.974800000000002
-32,87,10,24.6472,26.898500000000002
-32,88,9,24.7258,25.941285714285716
-32,89,7,24.3002,30.037599999999998
-32,93,9,25.7558,25.9332
-32,94,3,26.7512,24.4492
-32,97,5,28.387400000000003,27.5217
-32,98,7,28.990200000000005,30.9209
-32,100,4,28.830399999999997,27.3664
-32,101,6,25.9552,27.3274
-32,103,8,25.7866,26.595
-31,6,1,25.2528,24.4615
-31,12,4,25.186200000000003,25.971600000000002
-31,30,8,26.111199999999997,27.901699999999998
-31,57,2,23.584600000000002,24.3283
-31,60,1,24.616,24.9111
-31,67,10,24.1974,28.047199999999997
-31,70,5,34.336200000000005,31.35
-31,75,6,25.5702,26.847699999999996
-31,79,3,25.761400000000002,25.6303
-31,83,2,24.276000000000003,24.917499999999997
-31,87,10,23.3082,25.896799999999995
-31,88,9,27.2982,27.2295
-31,89,7,24.0576,28.558699999999998
-31,94,3,30.093,26.6047
-31,98,7,26.445,30.149099999999997
-31,100,4,29.645,27.885
-31,101,6,24.6166,26.392199999999995
-31,103,8,25.118,27.1392
-30,6,1,26.5576,25.0502
-30,30,8,25.618199999999995,28.280899999999995
-30,57,2,23.438,24.8292
-30,60,1,26.7954,25.227800000000002
-30,67,10,25.1356,27.001500000000004
-30,70,5,26.833,31.330900000000003
-30,75,6,26.2832,26.671
-30,79,3,25.4118,26.0417
-30,83,2,24.0298,25.415699999999998
-30,88,9,29.3618,26.569599999999998
-30,89,7,25.0228,28.6821
-30,93,9,25.233600000000003,25.922500000000003
