AirTemp_mean,AirTemp_min,AirTemp_max,AirTemp_std,TrackTemp_mean,TrackTemp_min,TrackTemp_max,TrackTemp_std,WindSpeed_mean,WindSpeed_min,WindSpeed_max,WindSpeed_std,Humidity_mean,Humidity_min,Humidity_max,Humidity_std,Pressure_mean,Pressure_min,Pressure_max,Pressure_std,Rainfall_any,Rainfall_mean,race_id
31.860975609756093,31.0,32.2,0.2909143090331603,39.5719512195122,36.9,44.4,2.304653070500821,1.602439024390244,0.0,3.0,0.7076261148786807,29.797560975609752,29.0,30.8,0.4055100765233825,1015.898780487805,1015.5,1016.4,0.2180122900822768,False,0.0,21
31.860975609756093,31.0,32.2,0.2909143090331603,39.5719512195122,36.9,44.4,2.304653070500821,1.602439024390244,0.0,3.0,0.7076261148786807,29.797560975609752,29.0,30.8,0.4055100765233825,1015.898780487805,1015.5,1016.4,0.2180122900822768,False,0.0,21
19.772058823529417,18.6,21.0,0.5405485296493349,24.75882352941176,22.2,28.3,1.247712569048053,0.7544117647058824,0.0,1.3,0.2728696717665297,86.83823529411765,81.2,92.3,3.2682566173641705,1010.2205882352944,1009.6,1011.5,0.5239228676082094,True,0.2205882352941176,1
19.772058823529417,18.6,21.0,0.5405485296493349,24.75882352941176,22.2,28.3,1.247712569048053,0.7544117647058824,0.0,1.3,0.2728696717665297,86.83823529411765,81.2,92.3,3.2682566173641705,1010.2205882352944,1009.6,1011.5,0.5239228676082094,True,0.2205882352941176,1
22.31,21.6,23.3,0.4827907999555698,30.99,29.6,35.2,1.4093013995532009,1.0542857142857145,0.0,2.2,0.5015008530302438,63.77857142857142,58.7,68.5,3.1383505709876043,934.3485714285712,934.2,934.6,0.1113069357877045,True,0.2285714285714285,9
22.31,21.6,23.3,0.4827907999555698,30.99,29.6,35.2,1.4093013995532009,1.0542857142857145,0.0,2.2,0.5015008530302438,63.77857142857142,58.7,68.5,3.1383505709876043,934.3485714285712,934.2,934.6,0.1113069357877045,True,0.2285714285714285,9
24.03283582089552,23.5,24.5,0.2382944827636675,29.402985074626866,28.3,30.5,0.6249776115393041,1.4074626865671642,0.6,2.5,0.4906129230394151,41.44626865671641,40.2,43.2,0.7991147295428929,1015.3835820895524,1015.0,1016.0,0.3188982049634243,True,0.1791044776119403,4
24.03283582089552,23.5,24.5,0.2382944827636675,29.402985074626866,28.3,30.5,0.6249776115393041,1.4074626865671642,0.6,2.5,0.4906129230394151,41.44626865671641,40.2,43.2,0.7991147295428929,1015.3835820895524,1015.0,1016.0,0.3188982049634243,True,0.1791044776119403,4
29.482089552238808,28.7,30.2,0.3805599435657492,37.723880597014926,35.8,41.4,1.6423458418721653,0.8925373134328359,0.3,1.7,0.3349868531277467,44.0089552238806,40.8,45.7,1.2653579375362272,1008.4014925373134,1008.2,1008.6,0.0929198698675062,False,0.0,2
29.482089552238808,28.7,30.2,0.3805599435657492,37.723880597014926,35.8,41.4,1.6423458418721653,0.8925373134328359,0.3,1.7,0.3349868531277467,44.0089552238806,40.8,45.7,1.2653579375362272,1008.4014925373134,1008.2,1008.6,0.0929198698675062,False,0.0,2
12.769620253164556,11.6,13.7,0.4724063956610594,21.98860759493672,18.0,25.1,1.685989577922905,1.6898734177215189,0.5,3.6,0.6749349326110496,66.75949367088606,61.6,75.3,3.488020487300959,964.327848101266,964.1,964.6,0.1348662289377304,False,0.0,13
12.769620253164556,11.6,13.7,0.4724063956610594,21.98860759493672,18.0,25.1,1.685989577922905,1.6898734177215189,0.5,3.6,0.6749349326110496,66.75949367088606,61.6,75.3,3.488020487300959,964.327848101266,964.1,964.6,0.1348662289377304,False,0.0,13
24.4025974025974,23.5,25.3,0.5160513096618312,35.23376623376623,32.3,39.5,1.8578857812613945,1.6571428571428577,0.3,3.7,0.7376043318581718,58.26233766233767,55.7,60.9,1.3925590756663715,925.577922077922,925.2,926.1,0.2663710197526124,False,0.0,20
24.4025974025974,23.5,25.3,0.5160513096618312,35.23376623376623,32.3,39.5,1.8578857812613945,1.6571428571428577,0.3,3.7,0.7376043318581718,58.26233766233767,55.7,60.9,1.3925590756663715,925.577922077922,925.2,926.1,0.2663710197526124,False,0.0,20
21.08181818181818,19.7,21.9,0.7394195417631718,36.01969696969697,33.0,38.1,1.3685724957015155,2.37878787878788,0.8,3.9,0.7205799270278289,33.50606060606061,27.8,41.0,4.110432460417639,1018.7196969696968,1018.3,1019.2,0.273563209947603,False,0.0,7
21.08181818181818,19.7,21.9,0.7394195417631718,36.01969696969697,33.0,38.1,1.3685724957015155,2.37878787878788,0.8,3.9,0.7205799270278289,33.50606060606061,27.8,41.0,4.110432460417639,1018.7196969696968,1018.3,1019.2,0.273563209947603,False,0.0,7
12.588059701492536,12.3,12.9,0.1692428666055949,15.119402985074624,14.8,15.5,0.1884858373991139,2.26268656716418,0.9,3.8,0.6577822751363035,81.58358208955224,79.8,83.2,0.8382154591976895,1013.6880597014924,1013.4,1014.1,0.1895148415549683,False,0.0,3
12.588059701492536,12.3,12.9,0.1692428666055949,15.119402985074624,14.8,15.5,0.1884858373991139,2.26268656716418,0.9,3.8,0.6577822751363035,81.58358208955224,79.8,83.2,0.8382154591976895,1013.6880597014924,1013.4,1014.1,0.1895148415549683,False,0.0,3
21.74090909090909,19.7,25.2,2.153707163347549,29.75,26.1,40.7,4.666945962338177,1.8681818181818184,0.0,3.1,0.6300571624638736,77.49696969696969,49.3,89.7,15.4163546493972,969.25,968.7,969.6,0.2824344716376373,True,0.8787878787878788,8
